DATUM,TROEBELH. FNU
3/8/2018 16:30,8.387793
3/8/2018 16:40,7.955357
3/8/2018 16:50,7.304244
3/8/2018 17:00,6.720084
3/8/2018 17:10,6.180156
3/8/2018 17:20,5.630338
3/8/2018 17:30,5.266166
3/8/2018 17:40,4.749517
3/8/2018 17:50,4.454848
3/8/2018 18:00,4.104973
3/8/2018 18:10,3.890193
3/8/2018 18:20,3.636195
3/8/2018 18:30,3.395216
3/8/2018 18:40,3.238335
3/8/2018 18:50,3.015308
3/8/2018 19:00,2.862274
3/8/2018 19:10,2.816405
3/8/2018 19:20,2.691593
3/8/2018 19:30,2.654677
3/8/2018 19:40,2.586733
3/8/2018 19:50,2.53124
3/8/2018 20:00,2.511475
3/8/2018 20:10,2.533823
3/8/2018 20:20,2.761266
3/8/2018 20:30,3.147684
3/8/2018 20:40,3.689526
3/8/2018 20:50,4.368317
3/8/2018 21:00,5.085492
3/8/2018 21:10,5.491752
3/8/2018 21:20,5.577503
3/8/2018 21:30,5.405575
3/8/2018 21:40,5.126785
3/8/2018 21:50,4.64659
3/8/2018 22:00,4.441995
3/8/2018 22:10,3.906101
3/8/2018 22:20,3.580062
3/8/2018 22:30,3.243245
3/8/2018 22:40,2.955623
3/8/2018 22:50,2.760709
3/8/2018 23:00,2.501419
3/8/2018 23:10,2.402126
3/8/2018 23:20,2.259625
3/8/2018 23:30,2.144232
3/8/2018 23:40,2.075181
3/8/2018 23:50,2.000112
3/9/2018 0:00,1.907416
3/9/2018 0:10,1.833264
3/9/2018 0:20,1.767941
3/9/2018 0:30,1.698685
3/9/2018 0:40,1.682963
3/9/2018 0:50,1.625301
3/9/2018 1:00,1.570646
3/9/2018 1:10,1.5194
3/9/2018 1:20,1.53609
3/9/2018 1:30,1.494296
3/9/2018 1:40,1.482711
3/9/2018 1:50,1.443466
3/9/2018 2:00,1.411337
3/9/2018 2:10,1.394176
3/9/2018 2:20,1.363521
3/9/2018 2:30,1.350556
3/9/2018 2:40,1.32557
3/9/2018 2:50,1.318504
3/9/2018 3:00,1.310287
3/9/2018 3:10,1.289343
3/9/2018 3:20,1.290171
3/9/2018 3:30,1.276768
3/9/2018 3:40,1.248663
3/9/2018 3:50,1.262878
3/9/2018 4:00,1.24105
3/9/2018 4:10,1.250206
3/9/2018 4:20,1.244161
3/9/2018 4:30,2.078916
3/9/2018 4:40,2.343282
3/9/2018 4:50,3.598726
3/9/2018 5:00,3.317426
3/9/2018 5:10,2.524343
3/9/2018 5:20,2.132859
3/9/2018 5:30,1.923237
3/9/2018 5:40,2.042853
3/9/2018 5:50,2.141995
3/9/2018 6:00,2.031089
3/9/2018 6:10,2.02453
3/9/2018 6:20,2.154214
3/9/2018 6:30,3.211089
3/9/2018 6:40,3.919047
3/9/2018 6:50,4.047505
3/9/2018 7:00,3.612658
3/9/2018 7:10,3.169145
3/9/2018 7:20,2.681037
3/9/2018 7:30,2.221238
3/9/2018 7:40,1.970336
3/9/2018 7:50,1.739195
3/9/2018 8:00,1.636014
3/9/2018 8:10,1.76562
3/9/2018 8:20,2.038135
3/9/2018 8:30,2.416755
3/9/2018 8:40,2.47487
3/9/2018 8:50,2.479132
3/9/2018 9:00,2.787922
3/9/2018 9:10,2.842927
